No.	--date & time --	temp(cel)	humi(%)
1	2024-09-14 15:26:34	27.00	70.90
2	2024-09-14 15:26:37	27.00	70.90
3	2024-09-14 15:26:41	27.00	70.90
4	2024-09-14 15:26:45	27.00	70.80
5	2024-09-14 15:26:49	27.00	70.80
6	2024-09-14 15:26:53	27.00	70.90
7	2024-09-14 15:26:57	27.00	70.80
8	2024-09-14 15:27:01	27.00	70.80
9	2024-09-14 15:27:05	27.00	70.80
